,Genome,Order,Family,Genus,VC,VC Status,Size,VC Subcluster,VC Subcluster Size,Quality,Adj P-value,Topology Confidence Score,Genera in VC,Families in VC,Orders in VC,Genus Confidence Score
6438,SRR13995967_8,Unassigned,Unassigned,Unassigned,602_0,Clustered,12,VC_602_0,12,0.1997,1.0,0.1997,1,1,1,1.0
6439,SRR13995967_9,Unassigned,Unassigned,Unassigned,251_0,Clustered,80,VC_251_0,80,0.5549,1.0,0.5549,1,1,1,1.0
6440,SRR13995968_1,Unassigned,Unassigned,Unassigned,271_0,Clustered,156,VC_271_0,156,0.5279,1.0,0.5279,1,1,1,1.0
6441,SRR13995968_2,Unassigned,Unassigned,Unassigned,244_0,Clustered,155,VC_244_0,155,0.4226,1.0,0.4226,1,1,1,1.0
6442,SRR13995968_3,Unassigned,Unassigned,Unassigned,271_0,Clustered,156,VC_271_0,156,0.5279,1.0,0.5279,1,1,1,1.0
6443,SRR13995969_1,Unassigned,Unassigned,Unassigned,626_0,Clustered,33,VC_626_0,33,0.4875,1.0,0.4875,1,1,1,1.0
6444,SRR13995969_12,Unassigned,Unassigned,Unassigned,631_0,Clustered,2,VC_631_0,2,0.0253,0.94419549,0.0239,1,1,1,1.0
6445,SRR13995969_4,Unassigned,Unassigned,Unassigned,615_0,Clustered,44,VC_615_0,44,0.7717,1.0,0.7717,1,1,1,1.0
6446,SRR13995969_5,Unassigned,Unassigned,Unassigned,188_0,Clustered,8,VC_188_0,8,0.2839,1.0,0.2839,1,1,1,1.0
6447,SRR13995969_9,Unassigned,Unassigned,Unassigned,600_0,Clustered,19,VC_600_0,19,0.8777,1.0,0.8777,1,1,1,1.0
6448,SRR13995970_2,Unassigned,Unassigned,Unassigned,251_0,Clustered,80,VC_251_0,80,0.5549,1.0,0.5549,1,1,1,1.0
6449,SRR13995970_3,Unassigned,Unassigned,Unassigned,340_5,Clustered,32,VC_340_5,32,0.0624,1.0,0.0624,2,2,2,0.7198
6450,SRR13995970_4,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6451,SRR13995971_10,Unassigned,Unassigned,Unassigned,184_0,Clustered,32,VC_184_0,32,0.4966,1.0,0.4966,1,1,1,1.0
6452,SRR13995971_11,Unassigned,Unassigned,Unassigned,629_0,Clustered,44,VC_629_0,44,1.0,1.0,1.0,1,1,1,1.0
6453,SRR13995971_12,Unassigned,Unassigned,Unassigned,610_0,Clustered,46,VC_610_0,46,0.7905,1.0,0.7905,1,1,1,1.0
6454,SRR13995971_2,Unassigned,Unassigned,Unassigned,633_0,Clustered,37,VC_633_0,37,0.9084,1.0,0.9084,1,1,1,1.0
6455,SRR13995971_3,Unassigned,Unassigned,Unassigned,166_0,Clustered,41,VC_166_0,41,0.7754,1.0,0.7754,1,1,1,1.0
6456,SRR13995971_4,Unassigned,Unassigned,Unassigned,615_0,Clustered,44,VC_615_0,44,0.7717,1.0,0.7717,1,1,1,1.0
6457,SRR13995971_5,Unassigned,Unassigned,Unassigned,610_0,Clustered,46,VC_610_0,46,0.7905,1.0,0.7905,1,1,1,1.0
6458,SRR13995971_6,Unassigned,Unassigned,Unassigned,602_0,Clustered,12,VC_602_0,12,0.1997,1.0,0.1997,1,1,1,1.0
6459,SRR13995971_7,Unassigned,Unassigned,Unassigned,600_0,Clustered,19,VC_600_0,19,0.8777,1.0,0.8777,1,1,1,1.0
6460,SRR13995971_8,Unassigned,Unassigned,Unassigned,623_0,Clustered,42,VC_623_0,42,0.783,1.0,0.783,1,1,1,1.0
6461,SRR13995971_9,Unassigned,Unassigned,Unassigned,624_0,Clustered,27,VC_624_0,27,0.6703,1.0,0.6703,1,1,1,1.0
6462,SRR13995976_1,Unassigned,Unassigned,Unassigned,381_0,Clustered,154,VC_381_0,154,0.9774,1.0,0.9774,1,1,1,1.0
6463,SRR13995978_3,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6464,SRR13995981_1,Unassigned,Unassigned,Unassigned,297_0,Clustered,82,VC_297_0,82,0.7354,1.0,0.7354,1,1,1,1.0
6465,SRR13995981_2,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6466,SRR13995981_3,Unassigned,Unassigned,Unassigned,327_0,Clustered,4,VC_327_0,4,0.0067,0.99998904,0.0067,1,1,1,1.0
6467,SRR13995984_1,Unassigned,Unassigned,Unassigned,297_0,Clustered,82,VC_297_0,82,0.7354,1.0,0.7354,1,1,1,1.0
6468,SRR13995984_2,Unassigned,Unassigned,Unassigned,389_0,Clustered,63,VC_389_0,63,0.7014,1.0,0.7014,1,1,1,1.0
6469,SRR13995984_3,Unassigned,Unassigned,Unassigned,327_0,Clustered,4,VC_327_0,4,0.0067,0.99998904,0.0067,1,1,1,1.0
6470,SRR13995984_4,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6471,SRR13995985_1,Unassigned,Unassigned,Unassigned,297_0,Clustered,82,VC_297_0,82,0.7354,1.0,0.7354,1,1,1,1.0
6472,SRR13995985_2,Unassigned,Unassigned,Unassigned,389_0,Clustered,63,VC_389_0,63,0.7014,1.0,0.7014,1,1,1,1.0
6473,SRR13995985_4,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6474,SRR13995986_2,Unassigned,Unassigned,Unassigned,381_0,Clustered,154,VC_381_0,154,0.9774,1.0,0.9774,1,1,1,1.0
6475,SRR13995986_3,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6476,SRR13995986_4,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6477,SRR13995987_2,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6478,SRR13995987_3,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6479,SRR13995988_1,Unassigned,Unassigned,Unassigned,381_0,Clustered,154,VC_381_0,154,0.9774,1.0,0.9774,1,1,1,1.0
6480,SRR13995988_3,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6481,SRR13995988_4,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6482,SRR13995989_2,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6483,SRR13995989_3,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6484,SRR13995990_1,Unassigned,Unassigned,Unassigned,296_5,Clustered,213,VC_296_5,213,0.4594,1.0,0.4594,2,2,2,0.8028
6485,SRR13995990_2,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6486,SRR13995990_3,Unassigned,Unassigned,Unassigned,345_0,Clustered,33,VC_345_0,33,0.1282,1.0,0.1282,1,1,1,1.0
6487,SRR13995990_4,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6488,SRR13995991_1,Unassigned,Unassigned,Unassigned,381_0,Clustered,154,VC_381_0,154,0.9774,1.0,0.9774,1,1,1,1.0
6489,SRR13995991_3,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6490,SRR13995991_4,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6491,SRR13995992_1,Unassigned,Unassigned,Unassigned,381_0,Clustered,154,VC_381_0,154,0.9774,1.0,0.9774,1,1,1,1.0
6492,SRR13995992_3,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6493,SRR13995992_4,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6494,SRR13995994_2,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6495,SRR13995995_1,Unassigned,Unassigned,Unassigned,600_0,Clustered,19,VC_600_0,19,0.8777,1.0,0.8777,1,1,1,1.0
6496,SRR13995995_2,Unassigned,Unassigned,Unassigned,166_0,Clustered,41,VC_166_0,41,0.7754,1.0,0.7754,1,1,1,1.0
6497,SRR13995995_4,Unassigned,Unassigned,Unassigned,626_0,Clustered,33,VC_626_0,33,0.4875,1.0,0.4875,1,1,1,1.0
6498,SRR13995995_5,Unassigned,Unassigned,Unassigned,629_0,Clustered,44,VC_629_0,44,1.0,1.0,1.0,1,1,1,1.0
6499,SRR13995995_6,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6500,SRR13995995_7,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6501,SRR13995996_3,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6502,SRR13995997_2,Unassigned,Unassigned,Unassigned,184_0,Clustered,32,VC_184_0,32,0.4966,1.0,0.4966,1,1,1,1.0
6503,SRR13995997_3,Unassigned,Unassigned,Unassigned,166_0,Clustered,41,VC_166_0,41,0.7754,1.0,0.7754,1,1,1,1.0
6504,SRR13995997_7,Unassigned,Unassigned,Unassigned,632_0,Clustered,3,VC_632_0,3,0.0237,0.91256097,0.0217,1,1,1,1.0
6505,SRR13995998_1,Unassigned,Unassigned,Unassigned,615_0,Clustered,44,VC_615_0,44,0.7717,1.0,0.7717,1,1,1,1.0
6506,SRR13995998_15,Unassigned,Unassigned,Unassigned,626_0,Clustered,33,VC_626_0,33,0.4875,1.0,0.4875,1,1,1,1.0
6507,SRR13995998_16,Unassigned,Unassigned,Unassigned,611_0,Clustered,7,VC_611_0,7,0.1058,1.0,0.1058,1,1,1,1.0
6508,SRR13995998_18,Unassigned,Unassigned,Unassigned,633_0,Clustered,37,VC_633_0,37,0.9084,1.0,0.9084,1,1,1,1.0
6509,SRR13995998_19,Unassigned,Unassigned,Unassigned,610_0,Clustered,46,VC_610_0,46,0.7905,1.0,0.7905,1,1,1,1.0
6510,SRR13995998_2,Unassigned,Unassigned,Unassigned,188_0,Clustered,8,VC_188_0,8,0.2839,1.0,0.2839,1,1,1,1.0
6511,SRR13995998_20,Unassigned,Unassigned,Unassigned,629_0,Clustered,44,VC_629_0,44,1.0,1.0,1.0,1,1,1,1.0
6512,SRR13995998_3,Unassigned,Unassigned,Unassigned,187_0,Clustered,22,VC_187_0,22,0.7375,1.0,0.7375,1,1,1,1.0
6513,SRR13995998_4,Unassigned,Unassigned,Unassigned,599_0,Clustered,4,VC_599_0,4,0.0921,0.98706243,0.0909,1,1,1,1.0
6514,SRR13995998_5,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6515,SRR13995998_8,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6516,SRR13995998_9,Unassigned,Unassigned,Unassigned,600_0,Clustered,19,VC_600_0,19,0.8777,1.0,0.8777,1,1,1,1.0
6517,SRR13995999_1,Unassigned,Unassigned,Unassigned,625_0,Clustered,28,VC_625_0,28,0.9983,1.0,0.9983,1,1,1,1.0
6518,SRR13995999_10,Unassigned,Unassigned,Unassigned,602_0,Clustered,12,VC_602_0,12,0.1997,1.0,0.1997,1,1,1,1.0
6519,SRR13995999_11,Unassigned,Unassigned,Unassigned,610_0,Clustered,46,VC_610_0,46,0.7905,1.0,0.7905,1,1,1,1.0
6520,SRR13995999_12,Unassigned,Unassigned,Unassigned,184_0,Clustered,32,VC_184_0,32,0.4966,1.0,0.4966,1,1,1,1.0
6521,SRR13995999_13,Unassigned,Unassigned,Unassigned,629_0,Clustered,44,VC_629_0,44,1.0,1.0,1.0,1,1,1,1.0
6522,SRR13995999_14,Unassigned,Unassigned,Unassigned,623_0,Clustered,42,VC_623_0,42,0.783,1.0,0.783,1,1,1,1.0
6523,SRR13995999_15,Unassigned,Unassigned,Unassigned,230_0,Clustered,22,VC_230_0,22,0.7772,1.0,0.7772,1,1,1,1.0
6524,SRR13995999_16,Unassigned,Unassigned,Unassigned,625_0,Clustered,28,VC_625_0,28,0.9983,1.0,0.9983,1,1,1,1.0
6525,SRR13995999_17,Unassigned,Unassigned,Unassigned,622_0,Clustered,35,VC_622_0,35,0.996,1.0,0.996,1,1,1,1.0
6526,SRR13995999_18,Unassigned,Unassigned,Unassigned,419_0,Clustered,24,VC_419_0,24,0.9577,1.0,0.9577,1,1,1,1.0
6527,SRR13995999_19,Unassigned,Unassigned,Unassigned,624_0,Clustered,27,VC_624_0,27,0.6703,1.0,0.6703,1,1,1,1.0
6528,SRR13995999_2,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6529,SRR13995999_20,Unassigned,Unassigned,Unassigned,626_0,Clustered,33,VC_626_0,33,0.4875,1.0,0.4875,1,1,1,1.0
6530,SRR13995999_21,Unassigned,Unassigned,Unassigned,172_0,Clustered,28,VC_172_0,28,0.6961,1.0,0.6961,3,2,2,1.0
6531,SRR13995999_22,Unassigned,Unassigned,Unassigned,168_0,Clustered,22,VC_168_0,22,0.707,1.0,0.707,1,1,1,1.0
6532,SRR13995999_23,Unassigned,Unassigned,Unassigned,423_0,Clustered,9,VC_423_0,9,0.9917,1.0,0.9917,1,1,1,1.0
6533,SRR13995999_24,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6534,SRR13995999_25,Unassigned,Unassigned,Unassigned,633_0,Clustered,37,VC_633_0,37,0.9084,1.0,0.9084,1,1,1,1.0
6535,SRR13995999_3,Unassigned,Unassigned,Unassigned,622_0,Clustered,35,VC_622_0,35,0.996,1.0,0.996,1,1,1,1.0
6536,SRR13995999_4,Unassigned,Unassigned,Unassigned,615_0,Clustered,44,VC_615_0,44,0.7717,1.0,0.7717,1,1,1,1.0
6537,SRR13995999_5,Unassigned,Unassigned,Unassigned,381_0,Clustered,154,VC_381_0,154,0.9774,1.0,0.9774,1,1,1,1.0
6538,SRR13995999_7,Unassigned,Unassigned,Unassigned,181_0,Clustered,24,VC_181_0,24,0.7705,1.0,0.7705,1,1,1,1.0
6539,SRR13995999_8,Unassigned,Unassigned,Unassigned,166_0,Clustered,41,VC_166_0,41,0.7754,1.0,0.7754,1,1,1,1.0
6540,SRR13995999_9,Unassigned,Unassigned,Unassigned,610_0,Clustered,46,VC_610_0,46,0.7905,1.0,0.7905,1,1,1,1.0
6541,SRR13996000_1,Unassigned,Unassigned,Unassigned,615_0,Clustered,44,VC_615_0,44,0.7717,1.0,0.7717,1,1,1,1.0
6542,SRR13996000_10,Unassigned,Unassigned,Unassigned,629_0,Clustered,44,VC_629_0,44,1.0,1.0,1.0,1,1,1,1.0
6543,SRR13996000_11,Unassigned,Unassigned,Unassigned,184_0,Clustered,32,VC_184_0,32,0.4966,1.0,0.4966,1,1,1,1.0
6544,SRR13996000_12,Unassigned,Unassigned,Unassigned,168_0,Clustered,22,VC_168_0,22,0.707,1.0,0.707,1,1,1,1.0
6545,SRR13996000_13,Unassigned,Unassigned,Unassigned,172_0,Clustered,28,VC_172_0,28,0.6961,1.0,0.6961,3,2,2,1.0
6546,SRR13996000_14,Unassigned,Unassigned,Unassigned,423_0,Clustered,9,VC_423_0,9,0.9917,1.0,0.9917,1,1,1,1.0
6547,SRR13996000_15,Unassigned,Unassigned,Unassigned,625_0,Clustered,28,VC_625_0,28,0.9983,1.0,0.9983,1,1,1,1.0
6548,SRR13996000_16,Unassigned,Unassigned,Unassigned,230_0,Clustered,22,VC_230_0,22,0.7772,1.0,0.7772,1,1,1,1.0
6549,SRR13996000_17,Unassigned,Unassigned,Unassigned,623_0,Clustered,42,VC_623_0,42,0.783,1.0,0.783,1,1,1,1.0
6550,SRR13996000_18,Unassigned,Unassigned,Unassigned,622_0,Clustered,35,VC_622_0,35,0.996,1.0,0.996,1,1,1,1.0
6551,SRR13996000_19,Unassigned,Unassigned,Unassigned,419_0,Clustered,24,VC_419_0,24,0.9577,1.0,0.9577,1,1,1,1.0
6552,SRR13996000_2,Unassigned,Unassigned,Unassigned,622_0,Clustered,35,VC_622_0,35,0.996,1.0,0.996,1,1,1,1.0
6553,SRR13996000_3,Unassigned,Unassigned,Unassigned,633_0,Clustered,37,VC_633_0,37,0.9084,1.0,0.9084,1,1,1,1.0
6554,SRR13996000_5,Unassigned,Unassigned,Unassigned,181_0,Clustered,24,VC_181_0,24,0.7705,1.0,0.7705,1,1,1,1.0
6555,SRR13996000_6,Unassigned,Unassigned,Unassigned,610_0,Clustered,46,VC_610_0,46,0.7905,1.0,0.7905,1,1,1,1.0
6556,SRR13996000_7,Unassigned,Unassigned,Unassigned,166_0,Clustered,41,VC_166_0,41,0.7754,1.0,0.7754,1,1,1,1.0
6557,SRR13996000_8,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6558,SRR13996000_9,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6559,SRR13996001_1,Unassigned,Unassigned,Unassigned,623_0,Clustered,42,VC_623_0,42,0.783,1.0,0.783,1,1,1,1.0
6560,SRR13996001_11,Unassigned,Unassigned,Unassigned,610_0,Clustered,46,VC_610_0,46,0.7905,1.0,0.7905,1,1,1,1.0
6561,SRR13996001_12,Unassigned,Unassigned,Unassigned,184_0,Clustered,32,VC_184_0,32,0.4966,1.0,0.4966,1,1,1,1.0
6562,SRR13996001_14,Unassigned,Unassigned,Unassigned,164_0,Clustered,5,VC_164_0,5,0.2772,0.99999992,0.2772,1,1,1,1.0
6563,SRR13996001_15,Unassigned,Unassigned,Unassigned,629_0,Clustered,44,VC_629_0,44,1.0,1.0,1.0,1,1,1,1.0
6564,SRR13996001_16,Unassigned,Unassigned,Unassigned,623_0,Clustered,42,VC_623_0,42,0.783,1.0,0.783,1,1,1,1.0
6565,SRR13996001_17,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6566,SRR13996001_18,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6567,SRR13996001_19,Unassigned,Unassigned,Unassigned,628_0,Clustered,4,VC_628_0,4,0.2676,0.98843822,0.2645,1,2,2,1.0
6568,SRR13996001_2,Unassigned,Unassigned,Unassigned,626_0,Clustered,33,VC_626_0,33,0.4875,1.0,0.4875,1,1,1,1.0
6569,SRR13996001_20,Unassigned,Unassigned,Unassigned,633_0,Clustered,37,VC_633_0,37,0.9084,1.0,0.9084,1,1,1,1.0
6570,SRR13996001_21,Unassigned,Unassigned,Unassigned,405_0,Clustered,3,VC_405_0,3,0.521,0.99705694,0.5195,1,1,1,1.0
6571,SRR13996001_22,Unassigned,Unassigned,Unassigned,54_0,Clustered,3,VC_54_0,3,0.2599,0.9985111,0.2595,1,1,1,1.0
6572,SRR13996001_23,Unassigned,Unassigned,Unassigned,624_0,Clustered,27,VC_624_0,27,0.6703,1.0,0.6703,1,1,1,1.0
6573,SRR13996001_24,Unassigned,Unassigned,Unassigned,610_0,Clustered,46,VC_610_0,46,0.7905,1.0,0.7905,1,1,1,1.0
6574,SRR13996001_3,Unassigned,Unassigned,Unassigned,381_0,Clustered,154,VC_381_0,154,0.9774,1.0,0.9774,1,1,1,1.0
6575,SRR13996001_4,Unassigned,Unassigned,Unassigned,224_0,Clustered,3,VC_224_0,3,0.256,0.99783378,0.2554,1,1,1,1.0
6576,SRR13996001_5,Unassigned,Unassigned,Unassigned,602_0,Clustered,12,VC_602_0,12,0.1997,1.0,0.1997,1,1,1,1.0
6577,SRR13996001_6,Unassigned,Unassigned,Unassigned,615_0,Clustered,44,VC_615_0,44,0.7717,1.0,0.7717,1,1,1,1.0
6578,SRR13996001_9,Unassigned,Unassigned,Unassigned,166_0,Clustered,41,VC_166_0,41,0.7754,1.0,0.7754,1,1,1,1.0
6579,SRR13996002_1,Unassigned,Unassigned,Unassigned,381_0,Clustered,154,VC_381_0,154,0.9774,1.0,0.9774,1,1,1,1.0
6580,SRR13996002_2,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6581,SRR13996002_4,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6582,SRR13996003_1,Unassigned,Unassigned,Unassigned,622_0,Clustered,35,VC_622_0,35,0.996,1.0,0.996,1,1,1,1.0
6583,SRR13996003_10,Unassigned,Unassigned,Unassigned,623_0,Clustered,42,VC_623_0,42,0.783,1.0,0.783,1,1,1,1.0
6584,SRR13996003_11,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6585,SRR13996003_12,Unassigned,Unassigned,Unassigned,622_0,Clustered,35,VC_622_0,35,0.996,1.0,0.996,1,1,1,1.0
6586,SRR13996003_13,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6587,SRR13996003_14,Unassigned,Unassigned,Unassigned,419_0,Clustered,24,VC_419_0,24,0.9577,1.0,0.9577,1,1,1,1.0
6588,SRR13996003_15,Unassigned,Unassigned,Unassigned,633_0,Clustered,37,VC_633_0,37,0.9084,1.0,0.9084,1,1,1,1.0
6589,SRR13996003_16,Unassigned,Unassigned,Unassigned,600_0,Clustered,19,VC_600_0,19,0.8777,1.0,0.8777,1,1,1,1.0
6590,SRR13996003_17,Unassigned,Unassigned,Unassigned,626_0,Clustered,33,VC_626_0,33,0.4875,1.0,0.4875,1,1,1,1.0
6591,SRR13996003_18,Unassigned,Unassigned,Unassigned,184_0,Clustered,32,VC_184_0,32,0.4966,1.0,0.4966,1,1,1,1.0
6592,SRR13996003_19,Unassigned,Unassigned,Unassigned,381_0,Clustered,154,VC_381_0,154,0.9774,1.0,0.9774,1,1,1,1.0
6593,SRR13996003_2,Unassigned,Unassigned,Unassigned,615_0,Clustered,44,VC_615_0,44,0.7717,1.0,0.7717,1,1,1,1.0
6594,SRR13996003_20,Unassigned,Unassigned,Unassigned,168_0,Clustered,22,VC_168_0,22,0.707,1.0,0.707,1,1,1,1.0
6595,SRR13996003_21,Unassigned,Unassigned,Unassigned,172_0,Clustered,28,VC_172_0,28,0.6961,1.0,0.6961,3,2,2,1.0
6596,SRR13996003_3,Unassigned,Unassigned,Unassigned,610_0,Clustered,46,VC_610_0,46,0.7905,1.0,0.7905,1,1,1,1.0
6597,SRR13996003_4,Unassigned,Unassigned,Unassigned,296_5,Clustered,213,VC_296_5,213,0.4594,1.0,0.4594,2,2,2,0.8028
6598,SRR13996003_5,Unassigned,Unassigned,Unassigned,181_0,Clustered,24,VC_181_0,24,0.7705,1.0,0.7705,1,1,1,1.0
6599,SRR13996003_6,Unassigned,Unassigned,Unassigned,166_0,Clustered,41,VC_166_0,41,0.7754,1.0,0.7754,1,1,1,1.0
6600,SRR13996003_7,Unassigned,Unassigned,Unassigned,230_0,Clustered,22,VC_230_0,22,0.7772,1.0,0.7772,1,1,1,1.0
6601,SRR13996003_8,Unassigned,Unassigned,Unassigned,625_0,Clustered,28,VC_625_0,28,0.9983,1.0,0.9983,1,1,1,1.0
6602,SRR13996003_9,Unassigned,Unassigned,Unassigned,629_0,Clustered,44,VC_629_0,44,1.0,1.0,1.0,1,1,1,1.0
6603,SRR13996005_1,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6604,SRR13996005_2,Unassigned,Unassigned,Unassigned,381_0,Clustered,154,VC_381_0,154,0.9774,1.0,0.9774,1,1,1,1.0
6605,SRR13996005_4,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6606,SRR13996006_1,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6607,SRR13996006_2,Unassigned,Unassigned,Unassigned,381_0,Clustered,154,VC_381_0,154,0.9774,1.0,0.9774,1,1,1,1.0
6608,SRR13996006_4,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6609,SRR13996007_1,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6610,SRR13996007_3,Unassigned,Unassigned,Unassigned,381_0,Clustered,154,VC_381_0,154,0.9774,1.0,0.9774,1,1,1,1.0
6611,SRR13996008_1,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6612,SRR13996008_2,Unassigned,Unassigned,Unassigned,381_0,Clustered,154,VC_381_0,154,0.9774,1.0,0.9774,1,1,1,1.0
6613,SRR13996008_3,Unassigned,Unassigned,Unassigned,296_5,Clustered,213,VC_296_5,213,0.4594,1.0,0.4594,2,2,2,0.8028
6614,SRR13996008_5,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6615,SRR13996009_1,Unassigned,Unassigned,Unassigned,296_5,Clustered,213,VC_296_5,213,0.4594,1.0,0.4594,2,2,2,0.8028
6616,SRR13996009_2,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6617,SRR13996009_4,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6618,SRR13996009_5,Unassigned,Unassigned,Unassigned,381_0,Clustered,154,VC_381_0,154,0.9774,1.0,0.9774,1,1,1,1.0
6619,SRR13996010_1,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6620,SRR13996010_2,Unassigned,Unassigned,Unassigned,381_0,Clustered,154,VC_381_0,154,0.9774,1.0,0.9774,1,1,1,1.0
6621,SRR13996010_4,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
6622,SRR13996011_1,Unassigned,Unassigned,Unassigned,296_5,Clustered,213,VC_296_5,213,0.4594,1.0,0.4594,2,2,2,0.8028
6623,SRR13996011_2,Unassigned,Unassigned,Unassigned,365_0,Clustered,134,VC_365_0,134,0.9544,1.0,0.9544,1,1,1,1.0
6624,SRR13996011_3,Unassigned,Unassigned,Unassigned,381_0,Clustered,154,VC_381_0,154,0.9774,1.0,0.9774,1,1,1,1.0
6625,SRR13996011_4,Unassigned,Unassigned,Unassigned,247_4,Clustered,542,VC_247_4,542,0.3304,1.0,0.3304,1,1,1,0.945
